Date,Level
20140403,1
20140404,0.953312
20140405,0.953312
20140406,0.953312
20140407,0.944553922656
20140408,0.973953163498668
20140409,0.9901704576240843
20140410,0.9494685107929887
20140411,0.9313023297759865
20140412,0.9313023297759865
20140413,0.9313023297759865
20140414,0.934671781605116
20140415,0.9415519005895112
20140416,0.9768299672007991
20140417,0.9409549098253825
20140418,0.9409549098253825
20140419,0.9409549098253825
20140420,0.9409549098253825
20140421,0.9278267069234988
20140422,0.938690629834866
20140423,0.9248777972168459
20140424,0.9217535600178475
20140425,0.9059924958951022
20140426,0.9059924958951022
20140427,0.9059924958951022
20140428,0.9076948557948892
20140429,0.9262118308531049
20140430,0.9243871935463243
20140501,0.9326188615048543
20140502,0.926616526512209
20140503,0.926616526512209
20140504,0.926616526512209
20140505,0.9264061845606908
20140506,0.9041687305064959
20140507,0.8950773139212531
20140508,0.8969023765643386
20140509,0.9104698188146273
20140510,0.9104698188146273
20140511,0.9104698188146273
20140512,0.9301095632762777
20140513,0.9356725485742331
20140514,0.9243696241874564
20140515,0.9126634072667464
20140516,0.9138033238624226
20140517,0.9138033238624226
20140518,0.9138033238624226
20140519,0.9282478130027159
20140520,0.9298443992410805
20140521,0.9459390759475444
20140522,0.9566802141549288
20140523,0.9700900007167385
20140524,0.9700900007167385
20140525,0.9700900007167385
20140526,0.9700900007167385
20140527,0.9933459683039207
20140528,0.9858511729730677
20140529,0.9830434688324404
20140530,0.9827102170965062
20140531,0.9827102170965062
20140601,0.9827102170965062
20140602,0.972250249545731
20140603,0.9564716002458533
20140604,0.9559809303149273
20140605,0.9721981908167896
20140606,0.9764622520817121
20140607,0.9764622520817121
20140608,0.9764622520817121
20140609,0.9866242947391265
20140610,0.9838686530839201
20140611,0.9808678536920141
20140612,0.9677222627168337
20140613,0.9684412803580323
20140614,0.9684412803580323
20140615,0.9684412803580323
20140616,0.9553130903614989
20140617,0.9530843449216855
20140618,0.9712682411384463
20140619,0.973952826556953
20140620,0.9765152964436243
20140621,0.9765152964436243
20140622,0.9765152964436243
20140623,0.9915917161054174
20140624,0.9910126265432119
20140625,1.0156373082875576
